timestamp,job_title,company,location,status,reason,confirmation,cover_letter_attached,apply_url
2026-04-24T03:15:07Z,,,,terminated,,,,
2026-04-24T03:21:21Z,<built-in method title of str object at 0x7f2ec10eeb80>,,,failed,,,,
2026-04-24T03:22:32Z,<built-in method title of str object at 0x7f52bf9a5bb0>,,,failed,,,,
2026-04-24T05:03:57Z,GH_PAT verification test,Self,"Stone Mountain, GA",applied,Verifying GH_PAT commits appear under user identity not bot,,false,https://github.com/rashonjackson6324-web/job-application-tracker
2026-04-24T05:16:44Z,"Project Manager, DFR Implementation",BRINC,"Seattle, Washington, United States",completed,,,,https://jobs.ashbyhq.com/brinc/c130ab96-5b43-4196-8618-87ce0b513062
2026-04-24T05:22:10Z,Technical Consultant - Cornerstone OnDemand,Educe Group,United States,terminated,,,,https://www.linkedin.com/jobs/view/technical-consultant-cornerstone-ondemand-at-educe-4381310765
2026-04-24T05:28:12Z,Senior Implementation Consultant,Branch,United States,completed,,,,http://job-boards.greenhouse.io/branch/jobs/7693399003
2026-04-24T05:35:35Z,"Associate Director, Medical Writing and AI Implementation",Lexeo Therapeutics,"New York City, New York, United States",completed,,,,https://www.lexeotx.com/careers/
2026-04-24T05:40:48Z,"Product Lead, Agentic Implementation",Arbiter AI,New York City or Boca Raton,completed,,,,https://jobs.ashbyhq.com/arbiter-ai/0b6d2551-b435-4e87-bcf3-ab2869fbe2df
2026-04-24T05:44:22Z,Project Manager - CRM Implementation,A Wider Circle,"Silver Spring, Maryland, United States",terminated,,,,https://www.idealist.org/en/nonprofit-job/8b0b10d0598f41f4a2b81bdde1f5829e-project-manager-crm-implementation-a-wider-circle-silver-spring
2026-04-24T06:04:59Z,Solutions Engineer (Sales/Implementation),Lightspeed Systems,"Austin, Texas, United States",completed,,,,https://job-boards.greenhouse.io/lightspeedsystems/jobs/7662103003
