apply_url,title,company,location,salary,work_env,job_type,url_source,date_added,stage,company_desc,requirements,skills,application_status,date_applied
https://jobs.ashbyhq.com/brinc/c130ab96-5b43-4196-8618-87ce0b513062,"Project Manager, DFR Implementation",BRINC,"Seattle, Washington, United States",$126k-$181k/yr,Remote,Full Time,ashby,7h ago,Saved,Manufacturer of tactical drones and software for first responders.,"0+ YOEExceptional communication, organizational skills; proactive; multi-project management; analytical mindset; travel up to 35%; familiarity with FAA rules and drone tech.","Google Earth, Google Workspace",,
https://www.linkedin.com/jobs/view/technical-consultant-cornerstone-ondemand-at-educe-4381310765,Technical Consultant - Cornerstone OnDemand,Educe Group,United States,$75k-$100k/yr,Remote,Full Time,linkedin,7h ago,Saved,Implements and optimizes talent management software and consulting services.,"Gathers requirements, implements and tests Cornerstone OnDemand; REST/SOAP/WSDL; data management/SQL; SSO via SAML; cloud config; post-implementation support.","REST, SOAP, WSDL, SQL, HRIS, Cloud software, SAML, AES, SSO, Web services",,
http://job-boards.greenhouse.io/branch/jobs/7693399003,Senior Implementation Consultant,Branch,United States,$105k-$120k/yr,Remote,Full Time,greenhouse,7h ago,Saved,Provides digital banking and on-demand payment solutions for workers.,3+ YOE3-5 years enterprise project management; API/webhooks; strong communication; detailed documentation; problem-solving; process improvement; customer-focused.,"APIs, Webhooks, Deployment best practices, Project management tools",,
https://www.lexeotx.com/careers/,"Associate Director, Medical Writing and AI Implementation",Lexeo Therapeutics,"New York City, New York, United States",$166k-$195k/yr,Remote,Full Time,company-careers,7h ago,Saved,LXEO: Develops genetic medicines for cardiovascular and neurodegenerative diseases.,"8+ YOESenior-level medical writing leader role focusing on AI integration; 8+ years in medical writing; 4-6 years in pharma/biotech/CRO; strong editing, publishing, and regulatory submission experience; leadership and vendor management.","Microsoft Office Suite, MS Project, Copilot, Adobe Acrobat, Endnote",,
https://jobs.ashbyhq.com/arbiter-ai/0b6d2551-b435-4e87-bcf3-ab2869fbe2df,"Product Lead, Agentic Implementation",Arbiter AI,New York City or Boca Raton,$171k-$225k/yr,Remote,Full Time,ashby,7h ago,Saved,AI platform for clinical and financial healthcare data orchestration.,7+ YOE7+ years in technical product management or implementation leadership; strong stakeholder management; technical fluency; metrics-driven; excellent written communication.,,,
https://www.idealist.org/en/nonprofit-job/8b0b10d0598f41f4a2b81bdde1f5829e-project-manager-crm-implementation-a-wider-circle-silver-spring,Project Manager - CRM Implementation,A Wider Circle,"Silver Spring, Maryland, United States",,Remote,Contract,linkedin,7h ago,Saved,Provides essential household goods and support services to individuals.,"5+ YOE5+ years leading CRM implementations, data migrations, and nonprofit CRM platforms; PMP and CSM preferred.","Asana, Monday, Jira, Smartsheet",,
https://job-boards.greenhouse.io/lightspeedsystems/jobs/7662103003,Solutions Engineer (Sales/Implementation),Lightspeed Systems,"Austin, Texas, United States",,Remote,Full Time,greenhouse,7h ago,Saved,Sells safety and management software to K-12 school districts.,"Implement products, configure for customers, and collaborate with sales/support/product to drive customer success.","Azure, Active Directory, Google Admin Console, GPO, SCCM, Intune",,
https://jobs.alz.org/senior-manager-of-ai-strategy-implementation/job/9FE0B9B8F42964667F96775CA0068113,Senior Manager of AI Strategy & Implementation,Alzheimer's Association,Chicago or Columbus or Philadelphia or New York City or Atlanta or Charlotte or New Orleans or Miami or Dallas or Austin or Phoenix or Denver or Los Angeles or Sacramento or San Jose or Seattle or Portland,$125k-$140k/yr,Remote,Full Time,company-careers,7h ago,Saved,Funds dementia research and provides patient support services.,5+ YOELead AI strategy and program delivery; manage cross-functional projects; build business cases; coordinate with vendors; nonprofits/healthcare context.,"Enterprise AI platforms, Vendor proposals, Project management tools",,
https://careers-aitworldwide.icims.com/jobs/6630/global-implementation-and-solution-design-manager/job,Global Implementation and Solution Design Manager,AIT Worldwide Logistics,"Austin, Texas, United States",,Remote,Full Time,icims,7h ago,Saved,Global freight forwarding and supply chain solutions provider.,5+ YOE5+ years in logistics/supply chain; Bachelor's degree in related field; knowledge of CargoWise/Infor Nexus/SAP; experience with EDI/API integration; strong PM and communication skills.,"CargoWise, Infor Nexus, SAP, EDI, API, TMS, Visibility tools",,
https://bitwave.breezy.hr/p/2971c85555c5-consultant-solutions-implementation,"Consultant, Solutions & Implementation",Bitwave,United States,,Remote,Full Time,company-careers,7h ago,Saved,Enterprise software for digital asset accounting and tax compliance.,"Strong accounting expertise with professional services experience and interest in tech/digital assets; experienced in requirements gathering, process design, and system implementations.",,,
