apply_url,title,company,location,salary,work_env,job_type,url_source,date_added,stage,company_desc,requirements,skills
https://www.samsara.com/company/careers/roles/8013860?gh_jid=8013860,Customer Success Manager III,samsara,Remote - US,,Remote,Full Time,greenhouse,2026-07-23,Saved,,,
https://www.samsara.com/company/careers/roles/7283904?gh_jid=7283904,"Director, Field Onboarding",samsara,Remote - US,,Remote,Full Time,greenhouse,2026-07-23,Saved,,,
https://www.samsara.com/company/careers/roles/7482459?gh_jid=7482459,Enterprise Customer Success Manager,samsara,Remote - US,,Remote,Full Time,greenhouse,2026-07-23,Saved,,,
https://www.samsara.com/company/careers/roles/7481333?gh_jid=7481333,Enterprise Customer Success Manager - Public Sector,samsara,Remote - US,,Remote,Full Time,greenhouse,2026-07-23,Saved,,,
https://job-boards.greenhouse.io/alphasense/jobs/8191964002,"Customer Success Manager, Corporate",alphasense,"Chicago; New York, New York, United States",,Remote,Full Time,greenhouse,2026-07-23,Saved,,,
https://job-boards.greenhouse.io/alphasense/jobs/8550698002,"Customer Success Manager, Financial Services - High Growth",alphasense,"New York, New York, United States",,Remote,Full Time,greenhouse,2026-07-23,Saved,,,
https://job-boards.greenhouse.io/alphasense/jobs/8550718002,"Customer Success Manager, Financial Services - Strategic",alphasense,"New York, New York, United States",,Remote,Full Time,greenhouse,2026-07-23,Saved,,,
https://job-boards.greenhouse.io/alphasense/jobs/8584858002,"Implementation Consultant, Large Deployments",alphasense,Remote - United States,,Remote,Full Time,greenhouse,2026-07-23,Saved,,,
https://job-boards.greenhouse.io/remotecom/jobs/7753938003,Global Payroll Implementation Specialist - PEO,remotecom,Remote-United States,,Remote,Full Time,greenhouse,2026-07-23,Saved,,,
https://job-boards.greenhouse.io/remotecom/jobs/7789057003,"Senior Solutions Consultant - Global Payroll, AMER",remotecom,Remote-United States,,Remote,Full Time,greenhouse,2026-07-23,Saved,,,
https://job-boards.greenhouse.io/gigaenergy/jobs/5278691008,Senior Technical Project Manager,gigaenergy,"Houston, TX or Remote, US",,Remote,Full Time,greenhouse,2026-07-23,Saved,,,
https://job-boards.greenhouse.io/gigaenergy/jobs/5278652008,Technical Project Manager,gigaenergy,"Houston, TX or Remote, US",,Remote,Full Time,greenhouse,2026-07-23,Saved,,,
https://www.brex.com/careers/8461598002?gh_jid=8461598002,"Engineering Manager, Onboarding",brex,"Seattle, Washington, United States",,Remote,Full Time,greenhouse,2026-07-23,Saved,,,
https://www.brex.com/careers/8461600002?gh_jid=8461600002,"Engineering Manager, Onboarding",brex,"San Francisco, California, United States",,Remote,Full Time,greenhouse,2026-07-23,Saved,,,
https://www.brex.com/careers/8461599002?gh_jid=8461599002,"Engineering Manager, Onboarding",brex,"New York, New York, United States",,Remote,Full Time,greenhouse,2026-07-23,Saved,,,
https://www.brex.com/careers/8335473002?gh_jid=8335473002,Enterprise Customer Success Manager,brex,"Salt Lake City, Utah, United States",,Remote,Full Time,greenhouse,2026-07-23,Saved,,,
